datetime_utcmeter,meter_percent_uncertainty,meter_sigma,whole_gas_kgh,fraction_methane,fraction_methane_sigma,methane_kgh,methane_kgh_sigma,data_qc,datetime_utc,meter
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:11,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:12,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:13,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:14,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:15,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:16,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:17,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:18,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:19,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:20,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:21,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:22,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:23,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:24,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:25,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:26,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:27,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:28,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:29,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:30,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:31,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:32,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:33,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:34,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:35,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:36,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:37,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:38,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:39,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:40,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:41,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:42,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:43,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:44,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:45,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:46,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:47,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:48,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:49,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:50,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:51,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:52,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:53,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:54,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:55,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:56,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:57,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:58,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:36:59,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:00,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:01,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:02,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:03,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:04,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:05,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:06,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:07,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:08,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:09,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:10,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:11,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:12,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:13,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:14,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:15,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:16,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:17,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:18,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:19,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:20,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:21,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:22,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:23,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:24,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:25,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:26,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:27,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:28,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:29,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:30,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:31,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:32,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:33,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:34,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:35,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:36,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:37,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:38,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:39,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:40,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:41,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:42,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:43,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:44,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:45,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:46,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:47,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:48,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:49,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:50,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:51,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:52,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:53,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:54,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:55,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:56,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:57,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:58,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:37:59,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:00,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:01,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:02,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:03,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:04,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:05,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:06,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:07,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:08,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:09,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:10,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:11,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:12,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:13,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:14,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:15,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:16,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:17,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:18,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:19,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:20,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:21,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:22,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:23,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:24,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:25,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:26,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:27,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:28,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:29,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:30,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:31,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:32,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:33,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:34,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:35,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:36,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:37,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:38,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:39,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:40,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:41,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:42,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:43,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:44,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:45,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:46,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:47,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:48,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:49,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:50,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:51,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:52,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:53,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:54,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:55,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:56,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:57,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:58,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:38:59,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:00,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:01,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:02,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:03,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:04,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:05,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:06,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:07,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:08,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:09,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:10,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:11,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:12,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:13,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:14,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:15,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:16,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:17,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:18,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:19,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:20,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:21,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:22,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:23,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:24,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:25,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:26,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:27,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:28,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:29,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:30,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:31,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:32,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:33,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:34,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:35,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:36,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:37,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:38,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:39,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:40,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:41,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:42,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:43,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:44,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:45,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:46,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:47,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:48,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:49,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:50,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:51,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:52,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:53,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:54,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:55,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:56,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:57,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:58,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:39:59,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:00,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:01,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:02,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:03,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:04,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:05,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:06,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:07,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:08,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:09,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:10,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:11,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:12,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:13,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:14,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:15,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:16,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:17,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:18,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:19,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:20,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:21,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:22,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:23,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:24,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:25,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:26,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:27,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:28,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:29,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:30,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:31,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:32,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:33,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:34,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:35,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:36,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:37,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:38,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:39,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:40,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:41,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:42,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:43,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:44,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:45,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:46,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:47,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:48,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:49,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:50,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:51,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:52,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:53,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:54,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:55,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:56,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:57,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:58,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:40:59,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:00,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:01,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:02,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:03,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:04,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:05,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:06,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:07,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:08,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:09,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:10,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:11,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:12,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:13,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:14,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:15,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:16,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:17,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:18,
,0.0,0.0,0.0,0.87,0.0,0.0,0.0,1,2022-10-29 15:41:19,
